	dataset	diversity	num_taxa	rank	sample	taxa	transporter	substrate_category	type	name	abbreviation
19	mt	-0.0	1	order	140506	Bacteria	T115	Phosphonate	3a	phn: phosphonate ABC transporter	PO
20	mt	1.9372393601916758	5	order	140604	Bacteria	T115	Phosphonate	3a	phn: phosphonate ABC transporter	PO
21	mt	1.907571955143701	6	order	140709	Bacteria	T115	Phosphonate	3a	phn: phosphonate ABC transporter	PO
22	mt	2.0988396805336516	8	order	140820	Bacteria	T115	Phosphonate	3a	phn: phosphonate ABC transporter	PO
23	mt	2.067815100466407	8	order	140916	Bacteria	T115	Phosphonate	3a	phn: phosphonate ABC transporter	PO
24	mt	1.8743719021900986	7	order	141013	Bacteria	T115	Phosphonate	3a	phn: phosphonate ABC transporter	PO
0	mt	-1	0	order	120516	Eukaryota	T115	Phosphonate	3a	phn: phosphonate ABC transporter	PO
1	mt	-1	0	order	120613	Eukaryota	T115	Phosphonate	3a	phn: phosphonate ABC transporter	PO
2	mt	-1	0	order	120712	Eukaryota	T115	Phosphonate	3a	phn: phosphonate ABC transporter	PO
3	mt	-1	0	order	120813	Eukaryota	T115	Phosphonate	3a	phn: phosphonate ABC transporter	PO
4	mt	-1	0	order	120927	Eukaryota	T115	Phosphonate	3a	phn: phosphonate ABC transporter	PO
5	mt	-1	0	order	121024	Eukaryota	T115	Phosphonate	3a	phn: phosphonate ABC transporter	PO
6	mt	-1	0	order	121220	Eukaryota	T115	Phosphonate	3a	phn: phosphonate ABC transporter	PO
7	mt	-1	0	order	130123	Eukaryota	T115	Phosphonate	3a	phn: phosphonate ABC transporter	PO
8	mt	-1	0	order	130226	Eukaryota	T115	Phosphonate	3a	phn: phosphonate ABC transporter	PO
9	mt	-1	0	order	130403	Eukaryota	T115	Phosphonate	3a	phn: phosphonate ABC transporter	PO
10	mt	-1	0	order	130416	Eukaryota	T115	Phosphonate	3a	phn: phosphonate ABC transporter	PO
11	mt	-1	0	order	130422	Eukaryota	T115	Phosphonate	3a	phn: phosphonate ABC transporter	PO
12	mt	-1	0	order	130507	Eukaryota	T115	Phosphonate	3a	phn: phosphonate ABC transporter	PO
13	mt	-1	0	order	130605	Eukaryota	T115	Phosphonate	3a	phn: phosphonate ABC transporter	PO
14	mt	-1	0	order	130705	Eukaryota	T115	Phosphonate	3a	phn: phosphonate ABC transporter	PO
15	mt	-1	0	order	130815	Eukaryota	T115	Phosphonate	3a	phn: phosphonate ABC transporter	PO
16	mt	-1	0	order	130905	Eukaryota	T115	Phosphonate	3a	phn: phosphonate ABC transporter	PO
17	mt	-1	0	order	131003	Eukaryota	T115	Phosphonate	3a	phn: phosphonate ABC transporter	PO
18	mt	-1	0	order	140408	Eukaryota	T115	Phosphonate	3a	phn: phosphonate ABC transporter	PO
19	mt	-1	0	order	140506	Eukaryota	T115	Phosphonate	3a	phn: phosphonate ABC transporter	PO
20	mt	-1	0	order	140604	Eukaryota	T115	Phosphonate	3a	phn: phosphonate ABC transporter	PO
21	mt	-1	0	order	140709	Eukaryota	T115	Phosphonate	3a	phn: phosphonate ABC transporter	PO
22	mt	-1	0	order	140820	Eukaryota	T115	Phosphonate	3a	phn: phosphonate ABC transporter	PO
23	mt	-1	0	order	140916	Eukaryota	T115	Phosphonate	3a	phn: phosphonate ABC transporter	PO
24	mt	-1	0	order	141013	Eukaryota	T115	Phosphonate	3a	phn: phosphonate ABC transporter	PO
0	mt	-1	0	order	120516	Cyanobacteria	T115	Phosphonate	3a	phn: phosphonate ABC transporter	PO
1	mt	-0.0	1	order	120613	Cyanobacteria	T115	Phosphonate	3a	phn: phosphonate ABC transporter	PO
2	mt	-0.0	1	order	120712	Cyanobacteria	T115	Phosphonate	3a	phn: phosphonate ABC transporter	PO
3	mt	-0.0	1	order	120813	Cyanobacteria	T115	Phosphonate	3a	phn: phosphonate ABC transporter	PO
4	mt	-1	0	order	120927	Cyanobacteria	T115	Phosphonate	3a	phn: phosphonate ABC transporter	PO
5	mt	-1	0	order	121024	Cyanobacteria	T115	Phosphonate	3a	phn: phosphonate ABC transporter	PO
6	mt	-1	0	order	121220	Cyanobacteria	T115	Phosphonate	3a	phn: phosphonate ABC transporter	PO
7	mt	-1	0	order	130123	Cyanobacteria	T115	Phosphonate	3a	phn: phosphonate ABC transporter	PO
8	mt	-1	0	order	130226	Cyanobacteria	T115	Phosphonate	3a	phn: phosphonate ABC transporter	PO
9	mt	-1	0	order	130403	Cyanobacteria	T115	Phosphonate	3a	phn: phosphonate ABC transporter	PO
10	mt	-1	0	order	130416	Cyanobacteria	T115	Phosphonate	3a	phn: phosphonate ABC transporter	PO
11	mt	-1	0	order	130422	Cyanobacteria	T115	Phosphonate	3a	phn: phosphonate ABC transporter	PO
12	mt	-1	0	order	130507	Cyanobacteria	T115	Phosphonate	3a	phn: phosphonate ABC transporter	PO
13	mt	-1	0	order	130605	Cyanobacteria	T115	Phosphonate	3a	phn: phosphonate ABC transporter	PO
14	mt	-0.0	1	order	130705	Cyanobacteria	T115	Phosphonate	3a	phn: phosphonate ABC transporter	PO
15	mt	-0.0	1	order	130815	Cyanobacteria	T115	Phosphonate	3a	phn: phosphonate ABC transporter	PO
16	mt	-1	0	order	130905	Cyanobacteria	T115	Phosphonate	3a	phn: phosphonate ABC transporter	PO
17	mt	-1	0	order	131003	Cyanobacteria	T115	Phosphonate	3a	phn: phosphonate ABC transporter	PO
18	mt	-1	0	order	140408	Cyanobacteria	T115	Phosphonate	3a	phn: phosphonate ABC transporter	PO
19	mt	-1	0	order	140506	Cyanobacteria	T115	Phosphonate	3a	phn: phosphonate ABC transporter	PO
20	mt	-0.0	1	order	140604	Cyanobacteria	T115	Phosphonate	3a	phn: phosphonate ABC transporter	PO
21	mt	-0.0	1	order	140709	Cyanobacteria	T115	Phosphonate	3a	phn: phosphonate ABC transporter	PO
22	mt	-1	0	order	140820	Cyanobacteria	T115	Phosphonate	3a	phn: phosphonate ABC transporter	PO
23	mt	-1	0	order	140916	Cyanobacteria	T115	Phosphonate	3a	phn: phosphonate ABC transporter	PO
24	mt	-1	0	order	141013	Cyanobacteria	T115	Phosphonate	3a	phn: phosphonate ABC transporter	PO
594	mg	1.025664633390699	5	order	120314	all	T312	Phosphonate	3a	phn2: phosphonate ABC transporter	PO
595	mg	0.9442484243911083	6	order	120322	all	T312	Phosphonate	3a	phn2: phosphonate ABC transporter	PO
596	mg	1.4558923584840564	4	order	120328	all	T312	Phosphonate	3a	phn2: phosphonate ABC transporter	PO
597	mg	1.1777055553144988	4	order	120403	all	T312	Phosphonate	3a	phn2: phosphonate ABC transporter	PO
598	mg	1.1298609251146736	5	order	120416	all	T312	Phosphonate	3a	phn2: phosphonate ABC transporter	PO
599	mg	1.1187378740139895	6	order	120419	all	T312	Phosphonate	3a	phn2: phosphonate ABC transporter	PO
600	mg	0.751725598052069	4	order	120423	all	T312	Phosphonate	3a	phn2: phosphonate ABC transporter	PO
601	mg	0.5470965679010082	3	order	120516	all	T312	Phosphonate	3a	phn2: phosphonate ABC transporter	PO
602	mg	1.3530521035863097	5	order	120531	all	T312	Phosphonate	3a	phn2: phosphonate ABC transporter	PO
